company_name,rank
L3Harris Technologies,582
Deutsche Boerse,583
Atlas Copco,584
Regions Financial,585
Bank of Baroda,586
TELUS,587
Boston Scientific,588
Cognizant,589
Samsung SDI,590
Coal India,591
Tata Steel,592
Asahi Group Holdings,593
China Tower Corp.,594
The Estée Lauder Companies,595
Riyad Bank,596
MGM Resorts,597
Biogen,598
Neste,599
East Japan Railway,600
Telstra,601
Ferguson,602
Kubota,603
Colgate-Palmolive,604
Kuwait Finance House,605
AutoZone,606
Raiffeisen Bank International,607
China Merchants Shekou Industrial Zone Holdings,608
Sompo,609
Grupo Bimbo,610
China National Nuclear Power,611
Hess,612
CK Asset Holdings,613
SingTel,614
Deutsche Lufthansa,615
Rogers Communications,616
Legal & General Group,617
Publicis Groupe,618
Swisscom,619
Mitsubishi Heavy Industries,620
SK,621
Vertex Pharmaceuticals,622
Sichuan Road & Bridge,623
Viatris,624
Bank Of Hangzhou,625
Idemitsu Kosan,626
SSE,627
Industrial Bank of Korea,628
China Energy Engineering,629
WEC Energy Group,630
Hanwha,631
Trane Technologies,632
PPG,633
Volvo Car,634
Weichai Power,635
Meituan,636
CBRE Group,637
Crown Castle International,638
Diamondback Energy,639
Activision Blizzard,640
Xiamen C&D,641
CGN Power,642
Sampo,643
Inner Mongolia Yili,644
Northern Trust,645
Aeon,646
Murata Manufacturing,647
Blackstone,648
Cardinal Health,649
Loews,650
Abu Dhabi Commercial Bank,651
Ecolab,652
RELX,653
Safran,654
Uber,655
Nomura,656
IQVIA,657
United Rentals,658
Gallagher,659
Prudential,660
Equitable Holdings,661
Hindalco Industries,662
The Mosaic Company,663
Norsk Hydro,664
Richemont,665
O'Reilly Automotive,666
Subaru,667
National Bank of Kuwait,668
Toshiba,669
Xiaomi,670
ASE Technology Holding,671
Kyocera,672
Hikvision,673
Chongqing Changan Auto,674
Mitsubishi Estate,675
BOE Technology Group,676
Turkish Airlines,677
JFE Holdings,678
China National Building,679
TBEA,680
Ross Stores,681
Keyence,682
Quinenco,683
Best Buy,684
Renesas Electronics,685
Amphenol,686
KLA,687
Vedanta Limited,688
Danske Bank,689
Ally Financial,690
Corning,691
Genuine Parts,692
Steel Dynamics,693
Reinsurance Group of America,694
Hong Kong Exchanges,695
Daqin Railway,696
Isbank,697
Verbund,698
Bajaj Finserv,699
Semiconductor Manufacturing International,700
Southwest Airlines,701
Fortis (Canada),702
SK Innovation,703
Associated British Foods,704
Jardine Matheson,705
KeyCorp,706
ZTE,707
Sekisui House,708
Omnicom Group,709
Grasim Industries,710
Quanta Computer,711
Sabanci Holding,712
Rongsheng Petrochemical,713
International Paper,714
Eiffage,715
Tenaris,716
Tokyo Gas,717
Korea Gas,718
Fox,719
Siemens Energy,720
QBE Insurance Group,721
Mahindra & Mahindra,722
DISH Network,723
Constellation Energy,724
Tata Motors,725
Westlake Chemical,726
Bank Leumi,727
Canara Bank,728
WW Grainger,729
HD HYUNDAI,730
Huishang Bank,731
Coterra Energy,732
Fubon Financial,733
AirBnB,734
AerCap Holdings,735
Simon Property Group,736
Renault,737
Equinix,738
Solvay,739
Public Bank,740
LG Electronics,741
Fidelity National Information (FIS),742
UPM-Kymmene,743
NEC,744
Ameren,745
WTW,746
EQT,747
Korea Electric Power,748
ThyssenKrupp Group,749
YPF,750
The Hershey Company,751
ITC,752
Microchip Technology,753
MTR,754
Bank Hapoalim,755
Targa Resources,756
HCL Technologies,757
Saudi British Bank,758
Tenaga Nasional,759
VICI Properties,760
PulteGroup,761
Sodexo,762
WPP,763
Bank of Ireland,764
Builders FirstSource,765
Santos,766
Pembina Pipeline,767
Albemarle,768
Baker Hughes Company,769
CIMB Group Holdings,770
Otsuka Holding,771
Zoetis,772
HF Sinclair,773
Suzano,774
Mitsui OSK Lines,775
Realty Income,776
Apollo Global Management,777
W. R. Berkley,778
Labcorp,779
Unum,780
Shanghai Rural Commercial Bank,781
Public Storage,782
Country Garden Holdings,783
CDW,784
Huatai Securities,785
CenterPoint Energy,786
Grupo ACS,787
Telkom Indonesia,788
United Microelectronics,789
Aptiv,790
Samsung Fire & Marine,791
NN Group,792
China Hongqiao Group,793
Otis Worldwide,794
Sasol,795
Yara International,796
Continental,797
Sumitomo Electric,798
China Bohai Bank,799
Nan Ya Plastics,800
Guotai Junan Securities,801
Block,802
Aluminum Corp of China,803
Emaar Properties,804
Kellogg,805
SQM,806
Ashtead Group,807
Daiichi Sankyo,808
Power Finance,809
Thomson Reuters,810
Galp Energia,811
Absa Group,812
Assa Abloy,813
Essity,814
Joint Stock Commercial Bank for Foreign Trade of Vietnam,815
First Citizens Bank (NC),816
Henderson Land,817
Huaneng Power International,818
East Money Information,819
Chesapeake Energy,820
Sika,821
Chongqing Rural Bank,822
Resona Holdings,823
Jabil Circuit,824
HMM,825
Aegon,826
Globalfoundries,827
MOL Hungarian Oil,828
Ageas,829
Hengli Petrochemical,830
Mitsubishi UFJ Lease,831
Greenland Holdings Group,832
Dongfeng Motor Group,833
Shanghai Pharmaceuticals,834
Roper Technologies,835
Celanese,836
Julius Baer Group,837
Isuzu Motors,838
TD SYNNEX,839
Motorola Solutions,840
China Molybdenum,841
GS Holdings,842
Great Wall Motor,843
Sandvik,844
Air France-KLM,845
PPL,846
Hilton Worldwide Holdings,847
Everest Re Group,848
Kasikornbank,849
China Resources Power,850
Barrick Gold,851
Molina Healthcare,852
TDK,853
Magna International,854
Power Grid of India,855
Union Bank of India,856
Newmont Mining,857
Paramount,858
Geely Automobile Holdings,859
Guosen Securities,860
Wipro,861
Lonza Group,862
China National Chemical,863
Tractor Supply,864
Gemdale,865
Adidas,866
Sunshine Insurance Group,867
Ryanair Holdings,868
GF Securities,869
Reliance Steel,870
SM Investments,871
Delta Electronics,872
KKR,873
FirstEnergy,874
CNPC Capital,875
SCB X Public Company,876
GD Power Development,877
Kansai Electric Power,878
ON Semiconductor Corp.,879
Siam Cement,880
Legend Holding,881
China Cinda Asset Management,882
Shanghai International Port,883
China Taiping Insurance,884
Cintas,885
Conagra Brands,886
Arrow Electronics,887
Fortum,888
JSW Steel,889
Mitsubishi Chemical,890
Jiangxi Copper,891
Philips,892
Stanley Black & Decker,893
MTN Group,894
Tokyo Electric Power,895
Mapfre,896
Bancolombia,897
Dubai Islamic Bank,898
Agnico Eagle Mines,899
AntarChile,900
Amcor,901
PBF Energy,902
BDO Unibank,903
Chipotle Mexican Grill,904
TCL Zhonghuan Renewable Energy Technology,905
Expeditors International,906
China Three Gorges Renewables (Group),907
Shanghai Construction,908
Alinma Bank,909
WH Group,910
Stora Enso,911
Mazda Motor,912
Marathon Oil,913
Link REIT,914
Coles Group,915
Avis Budget Group,916
Unipol Gruppo,917
Astellas Pharma,918
Flex,919
Fidelity National Financial,920
KT,921
3i Group,922
Penske Automotive,923
Intuitive Surgical,924
New York Community Bancorp,925
Sumitomo Realty,926
Chunghwa Telecom,927
Eletrobrás,928
Sumitomo Metal Mining,929
Weyerhaeuser,930
Bank Negara Indonesia,931
CP All,932
Ulta Beauty,933
Asahi Kasei,934
International Flavors & Fragrances,935
Techtronic Industries,936
Global Payments,937
Suncorp Group,938
Brookfield Renewable,939
Grupa PZU,940
CF Industries Holdings,941
Kirin Holdings,942
Legrand,943
NVR,944
CMS Energy,945
Baxter International,946
Rockwell Automation,947
Rolls-Royce Holdings,948
China Merchants Securities,949
Credicorp,950
ENN Natural Gas,951
Universal Music Group,952
US Steel,953
MercadoLibre,954
International Airlines,955
Markel,956
Ovintiv,957
ENN Energy Holdings,958
Mizrahi Tefahot Bank,959
Monster Beverage,960
Carnival Corporation,961
Meritz Financial Group,962
Hormel Foods,963
China Mengniu Dairy,964
OTP Bank,965
China International Capital,966
Kone,967
Mega Financial Holding,968
Sany Heavy Industry,969
CGI,970
Lincoln National,971
Bank Of Chengdu,972
Nidec,973
Fosun International,974
J.B. Hunt Transport Services,975
Guangzhou Automobile Group,976
NASDAQ,977
Yang Ming Marine Transport,978
CarMax,979
Gerdau (Cosigua),980
Formosa Plastics,981
TCL,982
Waste Connections,983
Bayan Resources,984
Jeronimo Martins,985
Chubu Electric Power,986
Agilent Technologies,987
Restaurant Brands International,988
South32,989
Brenntag,990
Banque Saudi Fransi,991
Taiwan Cooperative Financial,992
Wens Foodstuff Group,993
Leonardo,994
SMC,995
Lufax Holding,996
T&D Holdings,997
Anta Sports Products,998
Moody's,999
Vestas Wind Systems,1000
American Water Works,1001
Zhongsheng Group Holdings,1002
LKQ,1003
Db Insurance,1004
Haitong Securities,1005
Lululemon Athletica,1006
JA Solar Technology,1007
AIB Group,1008
Yamaha Motor,1009
BPER Banca,1010
Sumitomo Chemical,1011
CLP Holdings,1012
Yum! Brands,1013
Qatar Islamic Bank,1014
Marfrig Global Foods,1015
First Financial Holding,1016
Rakuten,1017
Shaanxi Construction Engineering Group,1018
Chow Tai Fook Jewellery,1019
eBay,1020
HAL Trust,1021
BorgWarner,1022
JDE Peet's,1023
AES,1024
H&M - Hennes & Mauritz,1025
Itaúsa,1026
Edwards Lifesciences,1027
Luzhou Lao Jiao,1028
Mediobanca,1029
Shenzhen Mindray Bio-Medical Electronics,1030
Alcon,1031
Swire Pacific,1032
Macy's,1033
Akbank,1034
Alexandria Real Estate Equities,1035
Wuchan Zhongda Group,1036
Bangkok Bank,1037
E-mart,1038
SDIC Power Holdings,1039
China Southern Airlines,1040
Constellation Brands,1041
Singapore Airlines,1042
C.H. Robinson,1043
Vonovia,1044
Dassault Systemes,1045
Franklin Resources,1046
Randstad N.V.,1047
Grupo Inbursa,1048
Textron,1049
China Reinsurance Group,1050
Nongfu Spring,1051
Bharat Petroleum,1052
Royal Caribbean Group,1053
Evonik Industries,1054
Voestalpine,1055
iA Financial Corporation,1056
S-Oil,1057
Arista Networks,1058
Southwestern Energy,1059
Lithia Motors,1060
Electronic Arts,1061
Formosa Petrochemical,1062
Adani Enterprises,1063
Beiersdorf,1064
Ternium,1065
Financiere de l'Odet,1066
Fastenal,1067
Old Dominion Freight Line,1068
J Sainsbury,1069
Goodman Group,1070
Cemex,1071
Nippon Paint,1072
Hexagon,1073
PKO Bank Polski,1074
Fanuc,1075
Bank of Changsha,1076
Interpublic Group,1077
Flutter Entertainment,1078
Helvetia Holding,1079
Paychex,1080
Commercial Bank For Investment & Development Of Vietnam,1081
TransDigm Group,1082
Uni-President,1083
Darden Restaurants,1084
Electric Power Development,1085
Antofagasta,1086
Shanxi Xinghuacun Fen Wine Factory,1087
Quanta Services,1088
Trina Solar,1089
China Resources Pharmaceutical Group,1090
Abu Dhabi Islamic Bank,1091
AvalonBay Communities,1092
Dover,1093
Greentown China Holdings,1094
All Nippon Airways,1095
Coupang,1096
Csc Financial,1097
Eurobank Ergasias,1098
Centrica,1099
First Quantum Minerals,1100
Ball,1101
Givaudan,1102
Ametek,1103
IndusInd Bank,1104
Adyen,1105
Snam,1106
Jacobs Solutions,1107
E.Sun Financial,1108
Aviva,1109
Teva Pharmaceutical,1110
BAIC Motor,1111
China Tourism Group Duty Free,1112
APA,1113
DiDi Global,1114
Krung Thai Bank,1115
China Development Financial,1116
Comerica,1117
Dassault Aviation,1118
Live Nation Entertainment,1119
Industries Qatar,1120
West Japan Railway,1121
Hoya,1122
Arab National Bank,1123
Welltower,1124
Ferrari,1125
Jiangsu Yanghe Brewery,1126
Schindler Holding,1127
Aisin Seiki,1128
Top Frontier Investment Holdings,1129
Arca Continental,1130
Beijing-Shanghai High-Speed Railway,1131
Punjab National Bank,1132
ZIM Integrated Shipping Services,1133
AutoNation,1134
Dick's Sporting Goods,1135
Nedbank,1136
Beijing Enterprises,1137
Yuanta Financial Holding,1138
Aena,1139
Korean Air,1140
Synopsys,1141
Telenor,1142
Equity Residential,1143
CJ Corporation,1144
Toray Industries,1145
Cosmo Energy Holdings,1146
Hertz Global Holdings,1147
T Rowe Price,1148
Israel Discount Bank,1149
Seazen Group,1150
Fortinet,1151
Towngas,1152
Terna,1153
National Bank of Greece,1154
Finatis,1155
GAIL India,1156
Hyundai Steel,1157
Mitsubishi Motors,1158
Cellnex Telecom,1159
Westinghouse Air Brake Technologies,1160
Naver,1161
Alstom,1162
China Galaxy Securities,1163
Telecom Italia,1164
Ganfeng Lithium,1165
Evergy,1166
Experian,1167
Kajima,1168
LPL Financial Holdings,1169
Kao,1170
Copart,1171
Vistra Energy,1172
Brookfield Business,1173
Yum China Holdings,1174
Cadence Design,1175
Wuxi Apptec,1176
Hydro One,1177
Sojitz,1178
NRG Energy,1179
NARI Technology Development,1180
China Steel,1181
Hunan Valin Steel,1182
Martin Marietta Materials,1183
Olympus,1184
East West Bancorp,1185
SK Telecom,1186
Vienna Insurance Group,1187
Grupo Carso,1188
Coinbase,1189
Indorama Ventures,1190
Ferrovial,1191
Foshan Haitian Flavouring and Food,1192
American Equity Investment,1193
VakifBank,1194
Hua Nan Financial,1195
Metro,1196
Tohoku Electric Power,1197
Digital Realty Trust,1198
Piraeus Financial Holdings,1199
Swatch Group,1200
Scor,1201
Banco de Sabadell,1202
Faurecia,1203
Banco BPM,1204
Amadeus IT Group,1205
Bank Of Guiyang,1206
Expedia Group,1207
Dongguan Rural Commercial Bank,1208
WESCO International,1209
Campbell Soup,1210
Wolters Kluwer,1211
Tourmaline Oil,1212
First Horizon,1213
Xiamen International Trade Group,1214
Yuexiu Property,1215
Popular,1216
Smurfit Kappa Group,1217
Chongqing Zhifei Biological Products,1218
Zions Bancorp,1219
Zhongyuan Bank,1220
JM Smucker,1221
Pegatron,1222
WEG,1223
Western Digital,1224
Lumen Technologies,1225
Kuaishou Technology,1226
Olam Group,1227
Keysight Technologies,1228
Ford Otosan,1229
BCI-Banco Credito,1230
MSCI,1231
Quest Diagnostics,1232
HBIS,1233
Molson Coors Brewing,1234
AGCO,1235
Chailease Holding,1236
Autodesk,1237
Qinghai Salt Lake Industry,1238
Western Alliance Bancorp.,1239
Atmos Energy,1240
Osaka Gas,1241
Datang International Power,1242
PGE Polska Grupa Energetyczna,1243
Guanghui Energy Co. Ltd.,1244
Kawasaki Kisen Kaisha,1245
Rexel,1246
StoneX Group,1247
Avnet,1248
DSM,1249
Guangzhou Rural Commercial Bank,1250
Investec,1251
Liberty Global,1252
Zimmer Biomet,1253
Webster Financial,1254
ResMed,1255
Partners Group Holding,1256
China Gas Holdings,1257
Owens Corning,1258
Emera,1259
Brighthouse Financial,1260
Bunzl,1261
Mashreq Bank,1262
Cincinnati Financial,1263
Mettler-Toledo International,1264
Vivendi,1265
WestRock,1266
XCMG Construction Machinery,1267
Kyushu Electric Power,1268
Shanghai Electric Group,1269
Spotify Technology,1270
Leidos,1271
Tianqi Lithium,1272
Kerry Group,1273
Evolution Gaming Group AB,1274
Petronas Chemicals,1275
China Jinmao,1276
American Financial Group,1277
Bank of Chongqing,1278
Jefferies Financial,1279
Caesars Entertainment,1280
Hyundai Glovis,1281
Jiangsu Eastern Shenghong,1282
Xinjiang Daqo New Energy,1283
Bandai Namco Holdings,1284
ServiceNow,1285
Vulcan Materials,1286
Indian Bank,1287
Newcrest Mining,1288
Motor Oil,1289
NetApp,1290
Jinke Property Group,1291
Voya Financial,1292
Las Vegas Sands,1293
Fortive,1294
BBMG,1295
Raizen,1296
Performance Food Group,1297
Far East Horizon,1298
Packaging Corp of America,1299
Tenet Healthcare,1300
ZTO Express (Cayman),1301
Vipshop Holdings,1302
CJ Cheiljedang,1303
IDEXX Laboratories,1304
Sungrow Power Supply,1305
New World Development,1306
Wan Hai Lines,1307
Nu Holdings,1308
Canadian Tire Corporation,1309
Gartner,1310
NiSource,1311
Carlsberg,1312
SG Holdings,1313
Acciona,1314
Shanxi Xishan Coal & Electricity Power Co. Ltd.,1315
Multiply Group,1316
Bâloise Group,1317
LG,1318
Japan Exchange Group,1319
NIPPON EXPRESS HOLDINGS,1320
CapitaLand Investment,1321
Oriental Land,1322
Universal Health Services,1323
Kaspi.kz JSC,1324
Xiamen Xiangyu,1325
Ajinomoto,1326
Daiwa Securities,1327
Secom,1328
Vietin Bank,1329
China CSSC Holdings,1330
Transurban Group,1331
Industrivarden,1332
Hopson Development Holdings,1333
Shanxi Lu'an Environmental,1334
Indian Railway Finance,1335
DXC Technology,1336
Korea Investment Holdings,1337
Boliden,1338
Mondi,1339
Skyworks Solutions,1340
Synovus,1341
Umicore,1342
Bluescope Steel,1343
Formosa Chemicals,1344
Asr Nederland,1345
Marvell Technology,1346
Ingersoll Rand,1347
