college_name,rank
Osmania University  ,70
Datta Meghe Institute of Higher Education and Research  ,71
Indian Institute of Technology Mandi  ,72
Indian Institute of Technology Patna  ,73
All India Institute of Medical Sciences Rishikesh  ,74
"Indian Statistical Institute, Kolkata  ",75
Alagappa University  ,76
Visvesvaraya National Institute of Technology Nagpur  ,77
Indian Institute of Science Education and Research Bhopal  ,78
Graphic Era University  ,79
Punjab Agricultural University  ,80
Sri Sivasubramaniya Nadar College of Engineering  ,81
Malaviya National Institute of Technology  ,82
All India Institute of Medical Sciences Jodhpur  ,83
SVKM's Narsee Monjee Institute of Management Studies  ,84
Sathyabama Institute of Science and Technology  ,85
Mysore University  ,86
University of Jammu  ,87
King George's Medical University  ,88
Shoolini University of Biotechnology and Management Sciences  ,89
Christ University  ,90
Bharath Institute of Higher Education and Research  ,91
National Institute of Technology Silchar  ,92
National Institute of Technology Durgapur  ,93
Gujarat University  ,94
Shiv Nadar University  ,95
Sri Ramachandra Institute of Higher Education and Research  ,96
Acharya Nagarjuna University  ,97
Tata Institute of Social Sciences  ,98
All India Institute of Medical Sciences Patna  ,99
Periyar University  ,100
Ashoka University  ,101
"Assam University, Silchar  ",102
Banasthali Vidyapith  ,103
Bangalore University  ,104
Bharati Vidyapeeth  ,105
Birla Institute of Technology  ,106
Calicut University  ,107
Central University of Punjab  ,108
Central University of Tamil Nadu  ,109
Chaudhary Charan Singh Haryana Agricultural University  ,110
Chettinad Academy of Research and Education  ,111
Chitkara University  ,112
Dibrugarh University  ,113
Dr. B R Ambedkar National Institute of Technology Jalandhar  ,114
G.B. Pant Universtiy of Agriculture and Technology  ,115
Guru Gobind Singh Indraprastha University  ,116
"Indian Institute of Engineering Science and Technology, Shibpur  ",117
Indian Institute of Space Science and Technology  ,118
Indian Institute of Technology Bhubaneswar  ,119
Indian Institute of Technology Palakkad  ,120
Indian Institute of Technology Tirupati  ,121
International Institute of Information Technology Hyderabad  ,122
"Jain University, Bangalore  ",123
M. S. Ramaiah Institute of Technology  ,124
Madan Mohan Malaviya University of Technology  ,125
Madurai Kamaraj University  ,126
Maharishi Markandeshwar (Deemed to be University)  ,127
Manav Rachna International Institute of Research and Studies  ,128
"Manipal University, Jaipur  ",129
"Manonmaniam Sundaranar University, Tirunelveli  ",130
Mizoram University  ,131
Mumbai University  ,132
National Institute of Technology Patna  ,133
National Institute of Technology Raipur  ,134
National Institute of Technology Srinagar  ,135
Netaji Subhas University of Technology (NSUT)  ,136
NITTE  ,137
Pondicherry University  ,138
PSG College of Technology  ,139
Sant Longowal Institute of Engineering and Technology  ,140
Sharda University  ,141
Sri Balaji Vidyapeeth Mahatma Gandhi Medical College  ,142
Sri Venkateswara University  ,143
Tamil Nadu Agricultural University  ,144
Tezpur University  ,145
University College of Medical Sciences  ,146
University of Agricultural Sciences  ,147
"Vignan's Foundation for Science, Technology and Research  ",148
Visvesvaraya Technological University  ,149
Yenepoya University  ,150
Acharya N G Ranga Agricultural University  ,151
Amity University  ,152
"Amity University Haryana, Gurgaon  ",153
Annamalai University  ,154
Avinashilingam Institute for Home Science and Higher Education for Women  ,155
BLDE  ,156
"C.V. Raman Global University, Odisha  ",157
Central University of Kerala  ,158
"Chandigarh Engineering College-CGC, Landran, Mohali  ",159
Chennai Institute of Technology  ,160
COEP Technological University  ,161
Dr. M. G. R. Educational and Research Institute  ,162
Dr. Y.S. Parmar University of Horticulture and Forestry  ,163
G. L. A. University  ,164
Galgotias University  ,165
Gandhi Institute of Technology and Management  ,166
Hindustan Institute of Technology and Science (HITS)  ,167
Indian Institute of Science Education and Research Thiruvananthapuram  ,168
Integral University  ,169
"Kalinga University, Raipur  ",170
Kalyani University  ,171
Karunya Institute of Technology and Sciences  ,172
KLE Academy of Higher Education and Research  ,173
KPR Institute of Engineering and Technology  ,174
Krishna Vishwa Vidyapeeth  ,175
Maharshi Dayanand University  ,176
Mangalore University  ,177
Manipur University  ,178
Maulana Azad National Institute of Technology  ,179
Mepco Schlenk Engineering College  ,180
Motilal Nehru National Institute of Technology  ,181
National Institute of Technology Kurukshetra  ,182
"NIMS University, Jaipur  ",183
Noida Institute of Engineering & Technology  ,184
North Eastern Hill University  ,185
Odisha University of Agriculture and Technology  ,186
"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai  ",187
Presidency University  ,188
PSG Institute of Medical Sciences and Research  ,189
Rajalakshmi Engineering College  ,190
Sawai Man Singh Medical College  ,191
SR University  ,192
Sri Krishna College of Engineering and Technology  ,193
Suresh Gyan Vihar University  ,194
University of Burdwan  ,195
University of Lucknow  ,196
Utkal University  ,197
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology  ,198
Vels Institute of Science Technology and Advanced Studies (VISTAS)  ,199
Visva Bharati  ,200
